CustomerKey;FirstName;LastName;ProductKey;SpanishProductName
11000;Jon;Yang;344;Montaña: 100, plateada, 38
11000;Jon;Yang;353;Montaña: 200, plateada, 38
11000;Jon;Yang;573;Paseo: 1000, azul, 46
11001;Eugene;Huang;350;Montaña: 100, negra, 44
11001;Eugene;Huang;353;Montaña: 200, plateada, 38
11001;Eugene;Huang;604;Carretera: 750, negra, 44
11002;Ruben;Torres;561;Paseo: 1000, amarilla, 46
11002;Ruben;Torres;346;Montaña: 100, plateada, 44
11002;Ruben;Torres;359;Montaña: 200, negra, 38
11003;Christy;Zhu;361;Montaña: 200, negra, 42
11003;Christy;Zhu;346;Montaña: 100, plateada, 44
11003;Christy;Zhu;564;Paseo: 1000, amarilla, 60
11004;Elizabeth;Johnson;562;Paseo: 1000, amarilla, 50
11004;Elizabeth;Johnson;345;Montaña: 100, plateada, 42
11004;Elizabeth;Johnson;355;Montaña: 200, plateada, 42
11005;Julio;Ruiz;351;Montaña: 100, negra, 48
11005;Julio;Ruiz;562;Paseo: 1000, amarilla, 50
11005;Julio;Ruiz;355;Montaña: 200, plateada, 42
11006;Janet;Alvarez;346;Montaña: 100, plateada, 44
11006;Janet;Alvarez;357;Montaña: 200, plateada, 46
11006;Janet;Alvarez;562;Paseo: 1000, amarilla, 50
11007;Marco;Mehta;347;Montaña: 100, plateada, 48
11007;Marco;Mehta;564;Paseo: 1000, amarilla, 60
11007;Marco;Mehta;361;Montaña: 200, negra, 42
11008;Rob;Verhoff;361;Montaña: 200, negra, 42
11008;Rob;Verhoff;348;Montaña: 100, negra, 38
11008;Rob;Verhoff;561;Paseo: 1000, amarilla, 46
11009;Shannon;Carlson;350;Montaña: 100, negra, 44
11009;Shannon;Carlson;575;Paseo: 1000, azul, 54
11009;Shannon;Carlson;359;Montaña: 200, negra, 38
11010;Jacquelyn;Suarez;346;Montaña: 100, plateada, 44
11010;Jacquelyn;Suarez;361;Montaña: 200, negra, 42
11010;Jacquelyn;Suarez;575;Paseo: 1000, azul, 54
11011;Curtis;Lu;574;Paseo: 1000, azul, 50
11011;Curtis;Lu;361;Montaña: 200, negra, 42
11011;Curtis;Lu;344;Montaña: 100, plateada, 38
11015;Chloe;Young;353;Montaña: 200, plateada, 38
11016;Wyatt;Hill;363;Montaña: 200, negra, 46
11017;Shannon;Wang;569;Paseo: 3000, amarilla, 50
11017;Shannon;Wang;350;Montaña: 100, negra, 44
11017;Shannon;Wang;363;Montaña: 200, negra, 46
11018;Clarence;Rai;569;Paseo: 3000, amarilla, 50
11018;Clarence;Rai;345;Montaña: 100, plateada, 42
11018;Clarence;Rai;353;Montaña: 200, plateada, 38
11020;Jordan;King;363;Montaña: 200, negra, 46
11021;Destiny;Wilson;363;Montaña: 200, negra, 46
11022;Ethan;Zhang;353;Montaña: 200, plateada, 38
11025;Alejandro;Beck;350;Montaña: 100, negra, 44
11025;Alejandro;Beck;357;Montaña: 200, plateada, 46
11025;Alejandro;Beck;565;Paseo: 3000, azul, 54
11026;Harold;Sai;353;Montaña: 200, plateada, 38
11026;Harold;Sai;346;Montaña: 100, plateada, 44
11026;Harold;Sai;567;Paseo: 3000, azul, 62
11027;Jessie;Zhao;363;Montaña: 200, negra, 46
11027;Jessie;Zhao;347;Montaña: 100, plateada, 48
11027;Jessie;Zhao;571;Paseo: 3000, amarilla, 58
11028;Jill;Jimenez;569;Paseo: 3000, amarilla, 50
11028;Jill;Jimenez;349;Montaña: 100, negra, 42
11028;Jill;Jimenez;353;Montaña: 200, plateada, 38
11029;Jimmy;Moreno;353;Montaña: 200, plateada, 38
11029;Jimmy;Moreno;569;Paseo: 3000, amarilla, 50
11029;Jimmy;Moreno;347;Montaña: 100, plateada, 48
11030;Bethany;Yuan;344;Montaña: 100, plateada, 38
11030;Bethany;Yuan;355;Montaña: 200, plateada, 42
11030;Bethany;Yuan;566;Paseo: 3000, azul, 58
11031;Theresa;Ramos;568;Paseo: 3000, amarilla, 44
11031;Theresa;Ramos;357;Montaña: 200, plateada, 46
11031;Theresa;Ramos;347;Montaña: 100, plateada, 48
11032;Denise;Stone;355;Montaña: 200, plateada, 42
11032;Denise;Stone;348;Montaña: 100, negra, 38
11032;Denise;Stone;570;Paseo: 3000, amarilla, 54
11033;Jaime;Nath;348;Montaña: 100, negra, 38
11033;Jaime;Nath;585;Paseo: 3000, azul, 44
11033;Jaime;Nath;357;Montaña: 200, plateada, 46
11034;Ebony;Gonzalez;567;Paseo: 3000, azul, 62
11034;Ebony;Gonzalez;346;Montaña: 100, plateada, 44
11034;Ebony;Gonzalez;361;Montaña: 200, negra, 42
11035;Wendy;Dominguez;353;Montaña: 200, plateada, 38
11035;Wendy;Dominguez;585;Paseo: 3000, azul, 44
11035;Wendy;Dominguez;348;Montaña: 100, negra, 38
11036;Jennifer;Russell;357;Montaña: 200, plateada, 46
11037;Chloe;Garcia;361;Montaña: 200, negra, 42
11038;Diana;Hernandez;355;Montaña: 200, plateada, 42
11038;Diana;Hernandez;566;Paseo: 3000, azul, 58
11038;Diana;Hernandez;351;Montaña: 100, negra, 48
11039;Marc;Martin;572;Paseo: 3000, amarilla, 62
11039;Marc;Martin;347;Montaña: 100, plateada, 48
11039;Marc;Martin;355;Montaña: 200, plateada, 42
11040;Jesse;Murphy;353;Montaña: 200, plateada, 38
11041;Amanda;Carter;359;Montaña: 200, negra, 38
11042;Megan;Sanchez;355;Montaña: 200, plateada, 42
11042;Megan;Sanchez;568;Paseo: 3000, amarilla, 44
11044;Adam;Flores;363;Montaña: 200, negra, 46
11044;Adam;Flores;351;Montaña: 100, negra, 48
11044;Adam;Flores;572;Paseo: 3000, amarilla, 62
11046;Christine;Yuan;349;Montaña: 100, negra, 42
11046;Christine;Yuan;353;Montaña: 200, plateada, 38
11046;Christine;Yuan;571;Paseo: 3000, amarilla, 58
11047;Jaclyn;Lu;567;Paseo: 3000, azul, 62
11047;Jaclyn;Lu;357;Montaña: 200, plateada, 46
11047;Jaclyn;Lu;345;Montaña: 100, plateada, 42
11048;Jeremy;Powell;351;Montaña: 100, negra, 48
11048;Jeremy;Powell;585;Paseo: 3000, azul, 44
11048;Jeremy;Powell;361;Montaña: 200, negra, 42
11050;Alan;Zheng;566;Paseo: 3000, azul, 58
11050;Alan;Zheng;350;Montaña: 100, negra, 44
11050;Alan;Zheng;587;Montaña: 400 para mujer, plateada, 38
11052;Heidi;Lopez;575;Paseo: 1000, azul, 54
11052;Heidi;Lopez;349;Montaña: 100, negra, 42
11052;Heidi;Lopez;363;Montaña: 200, negra, 46
11053;Ana;Price;363;Montaña: 200, negra, 46
